HR-Employee-Attrition-完美中文版,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齡,流失,出差頻率,日薪,部門,家住距離,教育程度,教育領域,員工數,員工編號,環境滿意度,性別,小時薪資,工作投入度,職級,職位角色,工作滿意度,婚姻狀態,月薪,月費率,曾工作公司數,超過18歲,加班,加薪百分比,績效評級,關係滿意度,標準工時,股票選擇權等級,總工作年資,去年訓練次數,工作生活平衡,在公司年資,目前角色年資,上次升遷年資,目前主管年資
41,是,偶爾出差,1102,銷售部,1,2,生命科學,1,1,2,女性,94,3,2,銷售執行,4,單身,5993,19479,8,是,是,11,3,1,80,0,8,0,1,6,4,0,5
49,否,頻繁出差,279,研發部,8,1,生命科學,1,2,3,男性,61,2,2,研究科學家,2,已婚,5130,24907,1,是,否,23,4,4,80,1,10,3,3,10,7,1,7
37,是,偶爾出差,1373,研發部,2,2,其他,1,4,4,男性,92,2,1,實驗室技術員,3,單身,2090,2396,6,是,是,15,3,2,80,0,7,3,3,0,0,0,0
33,否,頻繁出差,1392,研發部,3,4,生命科學,1,5,4,女性,56,3,1,研究科學家,3,已婚,2909,23159,1,是,是,11,3,3,80,0,8,3,3,8,7,3,0
27,否,偶爾出差,591,研發部,2,1,醫學,1,7,1,男性,40,3,1,實驗室技術員,2,已婚,3468,16632,9,是,否,12,3,4,80,1,6,3,3,2,2,2,2
32,否,頻繁出差,1005,研發部,2,2,生命科學,1,8,4,男性,79,3,1,實驗室技術員,4,單身,3068,11864,0,是,否,13,3,3,80,0,8,2,2,7,7,3,6
59,否,偶爾出差,1324,研發部,3,3,醫學,1,10,3,女性,81,4,1,實驗室技術員,1,已婚,2670,9964,4,是,是,20,4,1,80,3,12,3,2,1,0,0,0
30,否,偶爾出差,1358,研發部,24,1,生命科學,1,11,4,男性,67,3,1,實驗室技術員,3,離婚,2693,13335,1,是,否,22,4,2,80,1,1,2,3,1,0,0,0
38,否,頻繁出差,216,研發部,23,3,生命科學,1,12,4,男性,44,2,3,製造總監,3,單身,9526,8787,0,是,否,21,4,2,80,0,10,2,3,9,7,1,8
36,否,偶爾出差,1299,研發部,27,3,醫學,1,13,3,男性,94,3,2,醫療代表,3,已婚,5237,16577,6,是,否,13,3,2,80,2,17,3,2,7,7,7,7
35,否,偶爾出差,809,研發部,16,3,醫學,1,14,1,男性,84,4,1,實驗室技術員,2,已婚,2426,16479,0,是,否,13,3,3,80,1,6,5,3,5,4,0,3
29,否,偶爾出差,153,研發部,15,2,生命科學,1,15,4,女性,49,2,2,實驗室技術員,3,單身,4193,12682,0,是,是,12,3,4,80,0,10,3,3,9,5,0,8
31,否,偶爾出差,670,研發部,26,1,生命科學,1,16,1,男性,31,3,1,研究科學家,3,離婚,2911,15170,1,是,否,17,3,4,80,1,5,1,2,5,2,4,3
